country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Afghanistan,Asia,158275,7367,145750,5158,1124,3932,183,826810,20541,40250878
Albania,Europe,213257,3228,202077,7952,23,74227,1124,1495002,520354,2873049
Algeria,Africa,220415,6310,151347,62758,34,4893,140,230861,5125,45046063
Andorra,Europe,25289,141,21511,3637,31,326512,1820,249838,3225714,77452
Angola,Africa,86636,1789,67477,17370,7,2518,52,1296669,37686,34407243
Anguilla,North America,1777,6,1702,69,,116869,395,51382,3379283,15205
Antigua And Barbuda,North America,4486,119,4076,291,1,45243,1200,18559,187173,99154
Argentina,South America,5915695,117346,5390524,407825,1396,129101,2561,28646641,625170,45822143
Armenia,Asia,345389,7993,332458,4938,,116230,2690,2590957,871903,2971611
Aruba,North America,24210,181,20299,3730,6,225312,1684,177885,1655499,107451
Australia,Australia/Oceania,684614,2302,322180,360132,207,26385,89,56311741,2170289,25946654
Austria,Europe,1312939,13823,1247752,51364,295,144533,1522,125526389,13818362,9084028
Azerbaijan,Asia,619502,8422,603906,7174,,60279,819,5911227,575178,10277205
Bahamas,North America,26701,717,21964,4020,4,66933,1797,188388,472246,398919
Bahrain,Asia,286529,1395,278424,6710,1,160010,779,8116832,4532788,1790693
Bangladesh,Asia,1589947,28097,1550364,11486,1349,9511,168,11610336,69453,167167305
Barbados,North America,30177,263,28146,1768,,104815,913,478227,1661047,287907
Belarus,Europe,704907,5669,697953,1285,,74636,600,11138815,1179381,9444626
Belgium,Europe,2179710,28429,1826655,324626,503,186846,2437,27626818,2368184,11665824
Belize,North America,34628,605,30779,3244,4,84764,1481,391808,959087,408522
Benin,Africa,25522,161,24823,538,5,2025,13,604310,47953,12602042
Bermuda,North America,6936,110,5914,912,,111997,1776,708560,11441305,61930
Bhutan,Asia,2671,3,2654,14,,3405,4,1320998,1684006,784438
Bolivia,South America,641817,19848,537477,84492,220,53873,1666,2633963,221092,11913422
Bosnia And Herzegovina,Europe,297333,13568,192218,91547,,91488,4175,1505807,463329,3249977
Botswana,Africa,222053,2452,205004,14597,1,91634,1012,2026898,836431,2423271
Brazil,South America,22351104,619559,21567845,163700,8318,104035,2884,63776166,296852,214841765
British Virgin Islands,North America,3760,40,,,8,123137,1310,93379,3058097,30535
Brunei Darussalam,Asia,15532,98,15331,103,1,34997,221,690614,1556120,443805
Bulgaria,Europe,764476,31303,615764,117409,493,111287,4557,7582902,1103868,6869390
Burkina Faso,Africa,18637,333,17150,1154,,856,15,239193,10989,21767522
Burundi,Africa,32076,38,773,31265,,2582,3,345742,27827,12424637
Cabo Verde,Africa,45989,355,40539,5095,23,81381,628,394669,698398,565106
Cambodia,Asia,120553,3015,116982,556,,7063,177,2769862,162281,17068295
Cameroon,Africa,109367,1851,106050,1466,13,3971,67,1751774,63603,27542442
Canada,North America,2423887,30570,2025587,367730,455,63383,799,53389738,1396104,38241957
Caribbean Netherlands,North America,3918,23,3313,582,,147343,865,30126,1132940,26591
Cayman Islands,North America,9509,12,5237,4260,11,142165,179,215963,3228774,66887
Central African Republic,Africa,12454,101,6859,5494,2,2513,20,74519,15035,4956505
Chad,Africa,6183,184,4874,1125,,361,11,188872,11022,17136460
Channel Islands,Europe,30825,115,24427,6283,,174861,652,1142821,6482877,176283
Chile,South America,1817300,39207,1736035,42058,479,93849,2025,27663537,1428603,19364042
China Hong Kong Sar,Asia,12832,213,12230,389,,1691,28,30074074,3962930,7588849
China Macao Sar,Asia,79,,77,2,,119,,5075,7658,662699
China,Asia,103121,4636,95203,3282,30,72,3,160000000,111163,1439323776
Colombia,South America,5219633,130140,4997384,92109,342,100956,2517,29980901,579880,51701909
Comoros,Africa,7405,158,5650,1597,,8250,176,,,897548
Congo,Africa,21277,369,18825,2083,,3718,64,316273,55264,5722935
Costa Rica,North America,578413,7369,561587,9457,51,112001,1427,3015552,583914,5164374
Cote D Ivoire,Africa,75064,727,63453,10884,,2743,27,1254030,45829,27363425
Croatia,Europe,745544,12764,692927,39853,244,183315,3138,3832295,942289,4067006
Cuba,North America,969138,8324,957952,2862,27,85642,736,11769922,1040098,11316169
Curacao,North America,24748,189,18837,5722,3,149891,1145,397492,2407481,165107
Cyprus,Asia,188380,650,124370,63360,60,154330,533,9477138,7764105,1220635
Czech Republic,Europe,2510796,36449,2372033,102314,482,233802,3394,47300975,4404598,10738999
Democratic Republic Of The Congo,Africa,79942,1225,50930,27787,,853,13,846704,9040,93665721
Denmark,Europe,896566,3333,661820,231413,82,153969,572,109165488,18747232,5823019
Djibouti,Africa,13948,189,13463,296,,13814,187,261434,258925,1009690
Dominica,North America,7073,47,6544,482,,97888,650,127949,1770773,72256
Dominican Republic,North America,439017,4252,409832,24933,182,39866,386,2624951,238368,11012197
Ecuador,South America,553201,33686,443880,75635,759,30653,1867,2171252,120308,18047481
Egypt,Africa,389454,21863,323913,43678,122,3700,208,3693367,35092,105247070
El Salvador,North America,122063,3826,113511,4726,80,18676,585,1530272,234142,6535647
Equatorial Guinea,Africa,13876,175,13424,277,1,9424,119,263190,178743,1472448
Eritrea,Africa,8211,79,7865,267,,2268,22,23693,6544,3620525
Estonia,Europe,247863,1945,227373,18545,18,186660,1465,2565637,1932126,1327883
Ethiopia,Africa,436586,6988,358921,70677,366,3661,59,4161492,34895,119258397
Faeroe Islands,Europe,6855,15,5533,1307,5,139491,305,657000,13369147,49143
Falkland Islands Malvinas,South America,84,,,,,23121,,8528,2347371,3633
Fiji,Australia/Oceania,55649,704,51307,3638,,61405,777,477748,527166,906257
Finland,Europe,295601,1632,46000,247969,47,53226,294,8795790,1583764,5553725
France,Europe,10921757,124809,8335903,2461045,3333,166765,1906,188795159,2882732,65491742
French Guiana,South America,52465,342,11254,40869,6,169047,1102,500231,1611792,310357
French Polynesia,Australia/Oceania,46474,636,,,7,164010,2244,,,283361
Gabon,Africa,42640,290,37932,4418,15,18499,126,1493255,647847,2304950
Gambia,Africa,10376,343,9736,297,4,4119,136,132861,52743,2519031
Georgia,Asia,949176,14082,908813,26281,,238631,3540,13095005,3292191,3977596
Germany,Europe,7360556,114066,6626500,619990,4636,87429,1355,89622218,1064540,84188702
Ghana,Africa,148079,1313,133190,13576,5,4620,41,2138224,66712,32051546
Gibraltar,Europe,9459,100,8049,1310,4,280883,2969,456695,13561438,33676
Greece,Europe,1422020,21185,1049718,351117,639,137445,2048,49462354,4780768,10346111
Greenland,North America,3404,1,2491,912,2,59804,18,144455,2537905,56919
Grenada,North America,7101,200,5722,1179,,62668,1765,99585,878864,113311
Guadeloupe,North America,56035,750,2250,53035,23,140008,1874,607573,1518071,400227
Guatemala,North America,631730,16114,609211,6405,5,34304,875,3300578,179226,18415697
Guinea Bissau,Africa,6531,149,6302,80,,3204,73,111743,54825,2038160
Guinea,Africa,33428,393,30620,2415,49,2445,29,572612,41888,13669921
Guyana,South America,41418,1060,37842,2516,5,52277,1338,435258,549370,792286
Haiti,North America,26259,774,23418,2067,,2261,67,132422,11403,11612418
Holy See,Europe,27,,27,0,,33582,,,,804
Honduras,North America,380490,10442,126210,243838,124,37515,1030,1143557,112750,10142394
Hungary,Europe,1276433,39679,1133345,103409,307,132640,4123,9256170,961852,9623282
Iceland,Europe,35239,39,25733,9467,7,102264,113,1417790,4114450,344588
India,Asia,35109286,482876,34342255,284155,8944,25069,345,685305751,489331,1400494834
Indonesia,Asia,4264669,144116,4115358,5195,,15347,519,64718098,232890,277891506
Iran,Asia,6203046,131802,6047528,23716,2209,72452,1539,42484271,496218,85616188
Iraq,Asia,2095848,24194,2066713,4941,68,50400,582,16890412,406175,41584083
Ireland,Europe,884855,5952,591209,287694,94,176228,1185,9975030,1986631,5021078
Isle Of Man,Europe,13865,67,13402,396,1,161761,782,133676,1559577,85713
Israel,Asia,1440771,8253,1359981,72537,134,154490,885,40079138,4297570,9326000
Italy,Europe,6975465,138474,5243412,1593579,1467,115627,2295,145453492,2411065,60327477
Jamaica,North America,98194,2486,66236,29472,4,32943,834,718585,241080,2980693
Japan,Asia,1739353,18398,1713188,7767,64,13816,146,29583351,234991,125891351
Jordan,Asia,1074007,12810,1035143,26054,745,103708,1237,13755650,1328265,10356107
Kazakhstan,Asia,990039,13043,961806,15190,528,51792,682,11575012,605519,19115845
Kenya,Africa,306686,5411,261067,40208,51,5520,97,3076181,55369,55558123
Kuwait,Asia,423042,2469,412485,8088,7,96897,566,6072961,1390994,4365915
Kyrgyzstan,Asia,185031,2809,180050,2172,131,27672,420,1907195,285224,6686665
Laos,Asia,114787,409,7339,107039,,15439,55,923360,124192,7434943
Latvia,Europe,283149,4625,265669,12855,73,152667,2494,5654192,3048611,1854678
